card_id	review_time	review_rating	review_state	review_duration	review_date	real_days	delta_t	i	t_history	r_history	y
1002010.0	-2147483648	3	1.0	5.0	2022-11-12 16:34:17+01:00	2459895.5	9	3	0,1	1,3	1
1002010.0	-2147483648	3	1.0	5.0	2023-01-08 23:22:03+01:00	2459952.5	57	4	0,1,9	1,3,3	1
1002010.0	-2147483648	3	1.0	5.0	2023-07-17 04:23:02+02:00	2460142.5	190	5	0,1,9,57	1,3,3,3	1
1002060.0	-2147483648	1	1.0	5.0	2022-11-03 00:36:52+01:00	2459885.5	0	1			0
1002060.0	-2147483648	3	1.0	5.0	2022-11-03 06:23:43+01:00	2459886.5	1	2	0	1	1
1002060.0	-2147483648	3	1.0	5.0	2022-12-04 23:19:58+01:00	2459917.5	31	3	0,1	1,3	1
1002060.0	-2147483648	1	1.0	5.0	2023-02-16 03:04:14+01:00	2459991.5	74	4	0,1,31	1,3,3	0
1002060.0	-2147483648	3	1.0	5.0	2023-03-11 20:03:57+01:00	2460014.5	23	5	0,1,31,74	1,3,3,1	1
1002060.0	-2147483648	3	1.0	5.0	2023-05-03 18:40:20+02:00	2460067.5	53	6	0,1,31,74,23	1,3,3,1,3	1
1002060.0	-2147483648	3	1.0	5.0	2023-08-30 22:14:39+02:00	2460186.5	119	7	0,1,31,74,23,53	1,3,3,1,3,3	1
1002260.0	-2147483648	3	1.0	5.0	2022-10-29 09:34:35+02:00	2459881.5	0	1			1
1002260.0	-2147483648	3	1.0	5.0	2022-11-07 00:52:34+01:00	2459889.5	8	2	0	3	1
1002260.0	-2147483648	3	1.0	5.0	2022-12-06 17:53:18+01:00	2459919.5	30	3	0,8	3,3	1
1002260.0	-2147483648	3	1.0	5.0	2023-03-16 02:49:58+01:00	2460019.5	100	4	0,8,30	3,3,3	1
1002510.0	-2147483648	3	1.0	5.0	2022-09-10 00:53:07+02:00	2459831.5	0	1			1
1002510.0	-2147483648	3	1.0	5.0	2022-09-18 21:22:15+02:00	2459840.5	9	2	0	3	1
1002510.0	-2147483648	3	1.0	5.0	2022-10-18 05:53:31+02:00	2459870.5	30	3	0,9	3,3	1
1002510.0	-2147483648	3	1.0	5.0	2023-01-27 22:51:58+01:00	2459971.5	101	4	0,9,30	3,3,3	1
1002570.0	-2147483648	4	1.0	5.0	2022-09-18 00:53:33+02:00	2459839.5	0	1			1
1002570.0	-2147483648	4	1.0	5.0	2022-10-07 13:33:52+02:00	2459859.5	20	2	0	4	1
1002570.0	-2147483648	3	1.0	5.0	2023-01-23 13:35:50+01:00	2459967.5	108	3	0,20	4,4	1
1002630.0	-2147483648	3	1.0	5.0	2023-03-17 10:40:32+01:00	2460020.5	0	1			1
1002640.0	-2147483648	3	1.0	5.0	2023-02-24 19:30:48+01:00	2459999.5	0	1			1
1002720.0	-2147483648	1	1.0	5.0	2023-06-27 02:33:16+02:00	2460122.5	0	1			0
1002720.0	-2147483648	3	1.0	5.0	2023-06-29 23:33:54+02:00	2460124.5	2	2	0	1	1
1002720.0	-2147483648	1	1.0	5.0	2023-07-10 00:36:02+02:00	2460134.5	10	3	0,2	1,3	0
1002720.0	-2147483648	3	1.0	5.0	2023-07-14 18:06:11+02:00	2460139.5	5	4	0,2,10	1,3,1	1
1002720.0	-2147483648	3	1.0	5.0	2023-07-30 16:15:51+02:00	2460155.5	16	5	0,2,10,5	1,3,1,3	1
1002720.0	-2147483648	3	1.0	5.0	2023-09-10 23:00:00+02:00	2460197.5	42	6	0,2,10,5,16	1,3,1,3,3	1
1002975.0	-2147483648	3	1.0	5.0	2022-07-30 18:47:51+02:00	2459790.5	0	1			1
1003060.0	-2147483648	3	1.0	5.0	2022-09-20 22:23:35+02:00	2459842.5	0	1			1
1003060.0	-2147483648	3	1.0	5.0	2022-09-30 00:37:25+02:00	2459851.5	9	2	0	3	1
1003060.0	-2147483648	3	1.0	5.0	2022-10-30 10:52:44+01:00	2459882.5	31	3	0,9	3,3	1
1003100.0	-2147483648	2	1.0	5.0	2022-09-15 12:21:42+02:00	2459837.5	0	1			1
1003420.0	-2147483648	1	1.0	5.0	2023-02-22 00:00:57+01:00	2459996.5	0	1			0
1003420.0	-2147483648	3	1.0	5.0	2023-02-22 01:01:01+01:00	2459997.5	1	2	0	1	1
1003420.0	-2147483648	3	1.0	5.0	2023-02-23 02:24:48+01:00	2459998.5	1	3	0,1	1,3	1
1003420.0	-2147483648	3	1.0	5.0	2023-02-28 20:22:36+01:00	2460003.5	5	4	0,1,1	1,3,3	1
1003420.0	-2147483648	3	1.0	5.0	2023-03-22 00:40:21+01:00	2460024.5	21	5	0,1,1,5	1,3,3,3	1
1003420.0	-2147483648	3	1.0	5.0	2023-05-31 23:27:29+02:00	2460095.5	71	6	0,1,1,5,21	1,3,3,3,3	1
1003440.0	-2147483648	1	1.0	5.0	2022-09-01 19:47:37+02:00	2459823.5	0	1			0
1003440.0	-2147483648	3	1.0	5.0	2022-09-02 17:01:32+02:00	2459824.5	1	2	0	1	1
1003440.0	-2147483648	3	1.0	5.0	2022-09-05 13:25:48+02:00	2459827.5	3	3	0,1	1,3	1
1003440.0	-2147483648	3	1.0	5.0	2022-09-15 11:59:28+02:00	2459837.5	10	4	0,1,3	1,3,3	1
1003440.0	-2147483648	3	1.0	5.0	2022-10-18 05:40:41+02:00	2459870.5	33	5	0,1,3,10	1,3,3,3	1
1003440.0	-2147483648	3	1.0	5.0	2023-01-31 15:28:50+01:00	2459975.5	105	6	0,1,3,10,33	1,3,3,3,3	1
1003620.0	-2147483648	4	1.0	5.0	2022-09-20 22:15:30+02:00	2459842.5	0	1			1
1003620.0	-2147483648	3	1.0	5.0	2022-10-09 15:56:26+02:00	2459861.5	19	2	0	4	1
1003620.0	-2147483648	3	1.0	5.0	2022-12-16 00:33:39+01:00	2459928.5	67	3	0,19	4,3	1
1003620.0	-2147483648	3	1.0	5.0	2023-07-23 05:19:40+02:00	2460148.5	220	4	0,19,67	4,3,3	1
1003660.0	-2147483648	3	1.0	5.0	2022-12-24 19:51:06+01:00	2459937.5	0	1			1
1003660.0	-2147483648	3	1.0	5.0	2023-01-02 22:52:33+01:00	2459946.5	9	2	0	3	1
1003660.0	-2147483648	3	1.0	5.0	2023-02-12 23:52:45+01:00	2459987.5	41	3	0,9	3,3	1
1003660.0	-2147483648	3	1.0	5.0	2023-07-07 04:53:38+02:00	2460132.5	145	4	0,9,41	3,3,3	1
1003790.0	-2147483648	1	1.0	5.0	2023-03-27 23:53:08+02:00	2460030.5	0	1			0
1003790.0	-2147483648	3	1.0	5.0	2023-03-28 20:03:55+02:00	2460031.5	1	2	0	1	1
1003790.0	-2147483648	1	1.0	5.0	2023-04-02 00:21:01+02:00	2460035.5	4	3	0,1	1,3	0
1003790.0	-2147483648	3	1.0	5.0	2023-04-06 00:24:29+02:00	2460039.5	4	4	0,1,4	1,3,1	1
1003790.0	-2147483648	1	1.0	5.0	2023-04-17 00:00:35+02:00	2460050.5	11	5	0,1,4,4	1,3,1,3	0
1003790.0	-2147483648	3	1.0	5.0	2023-05-02 00:00:28+02:00	2460065.5	15	6	0,1,4,4,11	1,3,1,3,1	1
1003790.0	-2147483648	2	1.0	5.0	2023-07-01 04:14:40+02:00	2460126.5	61	7	0,1,4,4,11,15	1,3,1,3,1,3	1
1003790.0	-2147483648	1	1.0	5.0	2023-09-27 12:42:04+02:00	2460214.5	88	8	0,1,4,4,11,15,61	1,3,1,3,1,3,2	0
1003790.0	-2147483648	1	1.0	5.0	2023-10-05 22:56:05+02:00	2460222.5	8	9	0,1,4,4,11,15,61,88	1,3,1,3,1,3,2,1	0
1003790.0	-2147483648	2	1.0	5.0	2023-10-15 22:54:59+02:00	2460232.5	10	10	0,1,4,4,11,15,61,88,8	1,3,1,3,1,3,2,1,1	1
1003790.0	-2147483648	3	1.0	5.0	2023-10-28 23:22:59+02:00	2460245.5	13	11	0,1,4,4,11,15,61,88,8,10	1,3,1,3,1,3,2,1,1,2	1
1003790.0	-2147483648	3	1.0	5.0	2023-11-25 19:53:26+01:00	2460273.5	28	12	0,1,4,4,11,15,61,88,8,10,13	1,3,1,3,1,3,2,1,1,2,3	1
1003860.0	-2147483648	3	1.0	5.0	2022-12-23 23:04:17+01:00	2459936.5	0	1			1
1003860.0	-2147483648	3	1.0	5.0	2023-01-01 20:03:58+01:00	2459945.5	9	2	0	3	1
1003860.0	-2147483648	1	1.0	5.0	2023-01-31 12:42:18+01:00	2459975.5	30	3	0,9	3,3	0
1003860.0	-2147483648	3	1.0	5.0	2023-02-17 17:32:11+01:00	2459992.5	17	4	0,9,30	3,3,1	1
1003860.0	-2147483648	3	1.0	5.0	2023-02-23 02:03:44+01:00	2459998.5	6	5	0,9,30,17	3,3,1,3	1
1003860.0	-2147483648	3	1.0	5.0	2023-03-09 11:46:22+01:00	2460012.5	14	6	0,9,30,17,6	3,3,1,3,3	1
1003860.0	-2147483648	3	1.0	5.0	2023-04-17 00:03:40+02:00	2460050.5	38	7	0,9,30,17,6,14	3,3,1,3,3,3	1
1003860.0	-2147483648	3	1.0	5.0	2023-07-25 04:14:40+02:00	2460150.5	100	8	0,9,30,17,6,14,38	3,3,1,3,3,3,3	1
1004080.0	-2147483648	1	1.0	5.0	2023-03-08 03:00:24+01:00	2460011.5	0	1			0
